IngressBytes,InRxmitBytes,InCongestionBytes,Connections
253320,0,0,1
93790,0,0,1
147,0,0,1
185,0,0,1
117,0,0,1
22900,0,0,1
8844,0,0,1
313298,0,0,2
980608,0,0,2
1253165,0,0,1
1209773,0,0,1
1130460,0,0,1
1224245,0,0,2
1075704,0,0,2
970753,0,0,2
367564,0,0,2
40278,0,0,0
0,0,0,0
0,0,0,0
62,0,0,0
23,0,0,0
934,0,0,0
24776,0,0,1
9036,0,0,0
413,0,0,0
301,0,0,1
54,0,0,0
0,0,0,0
148,0,0,0
247008,0,0,1
429814,0,0,1
209733,0,0,1
31370,0,0,1
286,0,0,1
155,0,0,1
688,0,0,1
457,0,0,1
78,0,0,0
210,0,0,0
78,0,0,0
125,0,0,0
2094,0,0,2
2176,0,0,3
94421,0,0,2
34729,0,0,0
131616,0,0,1
274740,0,0,1
83611,0,0,0
0,0,0,0
0,0,0,0
210,0,0,0
78,0,0,0
0,0,0,0
311,0,0,1
389,0,0,2
101,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
210,0,0,0
47261,0,0,1
90819,0,0,1
27517,0,0,2
167033,0,0,3
865311,0,0,2
1068227,0,0,2
997419,0,0,2
722164,0,0,2
688939,0,0,2
569974,0,0,2
614638,0,0,2
618494,0,0,2
663841,0,0,1
699272,0,0,1
617305,0,0,2
157959,0,0,0
125,0,0,0
31214,0,0,1
11716,0,0,0
383,0,0,0
47339,0,0,1
416070,0,0,2
244154,0,0,1
36151,0,0,1
139,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
494,0,0,0
330,0,0,1
117,0,0,1
23,0,0,0
0,0,0,0
0,0,0,0
844,0,0,0
312,0,0,0
125,0,0,0
46,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
90187,0,0,0
33419,0,0,1
224,0,0,1
132794,0,0,2
49150,0,0,1
23,0,0,0
1232,0,0,1
518,0,0,0
23,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
150574,0,0,0
221766,0,0,1
61830,0,0,2
2898,0,0,1
183906,0,0,1
791560,0,0,2
959404,0,0,2
834542,0,0,2
879391,0,0,1
1002511,0,0,2
1010696,0,0,1
985406,0,0,1
1066215,0,0,1
601426,0,0,1
112768,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
210,0,0,0
4732,0,0,1
520332,0,0,2
191877,0,0,0
23,0,0,0
0,0,0,0
25280,0,0,1
9350,0,0,0
0,0,0,0
150785,0,0,1
